delta,method,metric,estimate,ci_low,ci_high,n
0.15,TV-DR-SMAA,correct_and_safe_rate,0.24,0.1860661599241369,0.30373340979204166,200
0.15,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.15,W-DR-SMAA,recommendation_accuracy,0.24,0.1860661599241369,0.30373340979204166,200
0.15,W-DR-SMAA,oracle_disagreement_rate,0.76,0.6962665902079583,0.8139338400758631,200
0.15,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.15,W-DR-SMAA,correct_and_safe_rate,0.24,0.1860661599241369,0.30373340979204166,200
0.15,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.2,Nominal SMAA,recommendation_accuracy,0.6,0.53083672039262,0.6653942143319266,200
0.2,Nominal SMAA,oracle_disagreement_rate,0.4,0.33460578566807336,0.46916327960737997,200
0.2,Nominal SMAA,safety_violation_rate,0.4,0.33460578566807336,0.46916327960737997,200
0.2,Nominal SMAA,correct_and_safe_rate,0.6,0.53083672039262,0.6653942143319266,200
0.2,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.2,TV-DR-SMAA,recommendation_accuracy,0.4,0.33460578566807336,0.46916327960737997,200
0.2,TV-DR-SMAA,oracle_disagreement_rate,0.6,0.53083672039262,0.6653942143319266,200
0.2,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.2,TV-DR-SMAA,correct_and_safe_rate,0.4,0.33460578566807336,0.46916327960737997,200
0.2,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.2,W-DR-SMAA,recommendation_accuracy,0.4,0.33460578566807336,0.46916327960737997,200
0.2,W-DR-SMAA,oracle_disagreement_rate,0.6,0.53083672039262,0.6653942143319266,200
0.2,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.2,W-DR-SMAA,correct_and_safe_rate,0.4,0.33460578566807336,0.46916327960737997,200
0.2,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.3,Nominal SMAA,recommendation_accuracy,0.38,0.31559005848673627,0.44893281984380773,200
0.3,Nominal SMAA,oracle_disagreement_rate,0.62,0.5510671801561923,0.6844099415132637,200
0.3,Nominal SMAA,safety_violation_rate,0.62,0.5510671801561923,0.6844099415132637,200
0.3,Nominal SMAA,correct_and_safe_rate,0.38,0.31559005848673627,0.44893281984380773,200
0.3,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.3,TV-DR-SMAA,recommendation_accuracy,0.62,0.5510671801561923,0.6844099415132637,200
0.3,TV-DR-SMAA,oracle_disagreement_rate,0.38,0.31559005848673627,0.44893281984380773,200
0.3,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.3,TV-DR-SMAA,correct_and_safe_rate,0.62,0.5510671801561923,0.6844099415132637,200
0.3,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.3,W-DR-SMAA,recommendation_accuracy,0.62,0.5510671801561923,0.6844099415132637,200
0.3,W-DR-SMAA,oracle_disagreement_rate,0.38,0.31559005848673627,0.44893281984380773,200
0.3,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.3,W-DR-SMAA,correct_and_safe_rate,0.62,0.5510671801561923,0.6844099415132637,200
0.3,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.4,Nominal SMAA,recommendation_accuracy,0.19,0.14167171527790676,0.25001238707599854,200
0.4,Nominal SMAA,oracle_disagreement_rate,0.81,0.7499876129240015,0.8583282847220932,200
0.4,Nominal SMAA,safety_violation_rate,0.81,0.7499876129240015,0.8583282847220932,200
0.4,Nominal SMAA,correct_and_safe_rate,0.19,0.14167171527790676,0.25001238707599854,200
0.4,Nominal SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.4,TV-DR-SMAA,recommendation_accuracy,0.81,0.7499876129240015,0.8583282847220932,200
0.4,TV-DR-SMAA,oracle_disagreement_rate,0.19,0.14167171527790676,0.25001238707599854,200
0.4,TV-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.4,TV-DR-SMAA,correct_and_safe_rate,0.81,0.7499876129240015,0.8583282847220932,200
0.4,TV-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.4,W-DR-SMAA,recommendation_accuracy,0.81,0.7499876129240015,0.8583282847220932,200
0.4,W-DR-SMAA,oracle_disagreement_rate,0.19,0.14167171527790676,0.25001238707599854,200
0.4,W-DR-SMAA,safety_violation_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
0.4,W-DR-SMAA,correct_and_safe_rate,0.81,0.7499876129240015,0.8583282847220932,200
0.4,W-DR-SMAA,indecision_rate,0.0,1.734723475976807e-18,0.018845326377266575,200
