delta,tv_distance,first_Acceleration,first_Fast + safeguards,first_Conditional scaling,first_Pause,safety_Acceleration,safety_Fast + safeguards,safety_Conditional scaling,safety_Pause,unconstrained_top,oracle_safe_choice
0.28,0.16177297183415223,0.0,0.6281491968449061,0.3718508031550997,0.0,0.05558075075116344,0.9294895841528856,1.0000000000000033,1.0000000000000033,Fast + safeguards,Conditional scaling
0.28500000000000003,0.16466177490261924,0.0,0.627574480121895,0.37242551987810474,0.0,0.05520957368124361,0.9285447552984707,1.0000000000000004,1.0000000000000004,Fast + safeguards,Conditional scaling
0.29,0.16755057797108622,0.0,0.6269997633988913,0.37300023660111453,0.0,0.054838396611323864,0.9275999264440568,1.0000000000000004,1.0000000000000004,Fast + safeguards,Conditional scaling
0.295,0.1704393810395532,0.0,0.6264250466758813,0.37357495332412116,0.0,0.054467219541404266,0.9266550975896441,1.0000000000000002,1.0000000000000002,Fast + safeguards,Conditional scaling
0.3,0.17332818410802026,0.0,0.6258503299528703,0.3741496700471283,0.0,0.054096042471484564,0.9257102687352297,0.999999999999997,0.999999999999997,Fast + safeguards,Conditional scaling
0.305,0.17621698717648723,0.0,0.625275613229865,0.3747243867701352,0.0,0.053724865401565035,0.9247654398808196,0.9999999999999991,0.9999999999999991,Fast + safeguards,Conditional scaling
0.31,0.17910579024495427,0.0,0.6247008965068559,0.37529910349314516,0.0,0.05335368833164517,0.9238206110264054,0.9999999999999993,0.9999999999999993,Fast + safeguards,Conditional scaling
0.315,0.18199459331342122,0.0,0.6241261797838485,0.3758738202161497,0.0,0.052982511261725596,0.9228757821719957,1.0000000000000042,1.0000000000000042,Fast + safeguards,Conditional scaling
0.32,0.18488339638188828,0.0,0.6235514630608403,0.37644853693915814,0.0,0.05261133419180575,0.9219309533175798,1.0000000000000007,1.0000000000000007,Fast + safeguards,Conditional scaling
0.325,0.18777219945035525,0.0,0.6229767463378322,0.3770232536621673,0.0,0.052240157121886094,0.9209861244631667,1.0000000000000004,1.0000000000000004,Fast + safeguards,Conditional scaling
0.33,0.1906610025188223,0.0,0.6224020296148265,0.3775979703851734,0.0,0.05186898005196639,0.9200412956087554,0.999999999999999,0.999999999999999,Fast + safeguards,Conditional scaling
